,Age_08_04,KM,HP,Automatic,Doors,Quarterly_Tax,Mfr_Guarantee,Guarantee_Period,Airco,Automatic_airco,CD_Player,Powered_Windows,Sport_Model,Tow_Bar,Fuel_Type_Diesel,Fuel_Type_Petrol
509,46,53700,97,0,5,85,1,3,0,0,1,1,0,0,0,1
435,53,79800,110,0,5,85,1,3,0,0,0,0,0,0,0,1
321,36,36269,110,0,5,85,0,3,1,0,1,1,0,1,0,1
1055,70,178800,72,0,3,185,0,3,0,0,0,0,1,0,1,0
288,44,44218,97,0,5,85,1,3,0,0,1,0,0,1,0,1
48,22,72215,90,0,5,234,1,3,1,0,0,1,1,0,1,0
1403,73,47360,86,0,3,69,0,3,0,0,0,0,0,0,0,1
952,60,52487,110,0,4,69,0,3,0,0,0,0,0,1,0,1
1097,74,124910,72,0,5,185,0,3,0,0,0,0,1,0,1,0
204,43,89968,69,0,5,185,0,3,0,0,0,1,0,0,1,0
978,65,45681,110,0,3,69,0,3,0,0,0,0,1,0,0,1
404,52,104805,97,0,3,69,1,3,1,0,1,0,0,0,0,1
1338,80,63500,110,0,3,69,0,3,0,0,0,1,0,1,0,1
754,68,80426,110,0,3,85,1,3,0,0,0,1,0,0,0,1
1189,78,90345,86,0,5,69,0,6,0,0,0,1,0,1,0,1
948,68,53000,86,0,3,69,0,3,0,0,0,0,0,0,0,1
1079,79,138500,86,0,5,69,0,3,0,0,0,0,0,0,0,1
1108,71,120474,72,0,3,185,0,3,0,0,0,0,1,0,1,0
107,17,10000,97,0,3,85,1,3,1,0,1,1,1,0,0,1
1065,73,158492,86,0,3,69,0,3,0,0,0,0,1,0,0,1
37,23,10000,97,0,3,85,1,3,0,0,0,1,1,0,0,1
1210,73,87000,86,0,3,69,0,12,0,0,0,0,0,0,0,1
810,57,72000,86,0,3,69,1,3,0,0,0,1,0,0,0,1
1064,74,159908,110,0,3,69,0,3,1,0,0,0,1,1,0,1
299,39,40000,110,0,3,85,0,3,1,0,0,1,0,1,0,1
91,20,37500,90,0,3,234,0,3,1,1,1,1,1,0,1,0
824,68,70000,86,0,3,69,0,3,0,0,0,1,0,0,0,1
572,56,35230,97,0,3,69,1,3,0,0,0,0,0,0,0,1
