,Age_08_04,KM,HP,Automatic,Doors,Quarterly_Tax,Mfr_Guarantee,Guarantee_Period,Airco,Automatic_airco,CD_Player,Powered_Windows,Sport_Model,Tow_Bar,Fuel_Type_Diesel,Fuel_Type_Petrol
674,68,104000,86,0,3,19,0,6,0,0,0,0,0,1,0,1
1221,73,84988,110,0,3,69,0,3,0,0,0,0,0,1,0,1
991,58,43000,110,1,4,72,0,3,0,0,0,1,0,0,0,0
323,44,36066,110,0,3,69,1,3,0,0,0,0,0,1,0,1
842,61,66259,110,0,3,85,0,3,1,0,0,1,1,0,0,1
1224,73,84402,110,0,4,69,1,3,1,0,0,1,0,0,0,1
700,65,95000,110,0,3,69,0,6,0,0,0,0,0,0,0,1
620,68,140000,110,0,5,85,0,3,1,0,0,0,1,1,0,1
640,68,119541,110,0,3,85,0,3,1,0,0,1,0,0,0,1
1352,72,60483,110,0,5,85,1,3,0,0,0,1,0,0,0,1
636,61,123000,72,0,5,185,1,3,0,0,0,0,1,0,1,0
200,44,96829,110,0,5,85,1,3,1,0,1,0,0,0,0,1
349,33,27240,110,0,5,85,0,12,1,0,0,1,0,0,0,1
1232,71,83291,110,0,5,85,0,3,1,0,0,0,0,1,0,1
1169,74,96000,110,0,5,85,1,3,0,0,0,0,1,1,0,1
846,63,65896,110,0,3,85,1,3,1,0,0,1,1,0,0,1
669,58,105942,86,0,5,69,1,3,1,0,1,1,0,0,0,1
1195,74,89800,72,0,3,185,0,3,0,0,0,0,0,0,1,0
955,58,51712,110,0,3,69,0,3,1,0,1,1,1,0,0,1
1252,72,78120,110,0,5,85,1,3,0,0,0,1,0,0,0,1
804,64,73300,86,0,3,69,0,3,0,0,0,1,0,0,0,1
853,68,65000,110,0,5,85,0,3,1,0,0,1,0,0,0,1
1083,71,134660,72,0,5,64,0,3,0,0,0,0,0,0,1,0
745,68,81965,86,0,5,69,1,3,0,0,0,0,0,0,0,1
355,39,25062,110,0,5,85,1,3,1,0,0,1,0,1,0,1
531,54,47852,110,0,4,69,0,3,0,0,0,0,0,0,0,1
638,64,120400,110,0,5,85,0,3,1,0,0,1,0,0,0,1
452,49,73175,97,0,3,69,1,3,1,0,1,1,0,0,0,1
1394,80,49580,110,0,4,69,0,3,0,0,0,1,0,0,0,1
211,40,80425,90,0,5,210,0,3,1,0,1,1,0,0,1,0
180,7,2000,110,0,5,19,0,24,1,0,1,1,0,0,0,1
587,52,29500,110,0,3,85,1,3,1,0,0,1,0,0,0,1
395,48,119742,110,0,5,85,0,3,1,0,1,1,0,0,0,1
244,33,57269,110,0,5,85,1,3,1,0,0,1,0,0,0,1
752,65,80439,110,0,4,69,0,3,1,0,0,1,0,0,0,1
274,43,48000,110,0,5,85,0,6,0,0,0,0,0,1,0,1
205,44,89757,110,0,3,69,1,3,1,0,1,1,1,0,0,1
1089,77,128960,110,0,5,85,0,3,1,0,0,1,1,1,0,1
286,40,44830,110,0,5,85,0,3,1,0,1,0,0,1,0,1
1022,57,33535,110,0,4,69,0,3,0,0,0,0,0,0,0,1
1167,74,96302,86,0,3,69,0,3,0,0,0,0,1,1,0,1
220,43,74285,110,0,5,85,0,6,0,0,0,0,0,1,0,1
1265,78,75226,110,0,4,69,0,6,0,0,0,0,0,1,0,1
428,50,83567,110,0,5,85,0,3,0,0,1,0,0,1,0,1
34,22,41000,97,0,3,85,0,3,1,0,1,1,1,0,0,1
85,28,8537,110,0,5,85,0,3,1,1,0,1,1,0,0,1
234,41,61000,110,0,5,85,0,3,0,0,0,0,0,0,0,1
156,16,13000,110,0,4,85,1,3,1,1,1,1,1,0,0,1
331,35,32941,110,0,5,85,1,3,1,0,1,1,0,0,0,1
807,67,72880,86,0,3,69,0,3,0,0,0,1,0,1,0,1
1098,70,124743,110,0,3,69,0,3,0,0,0,1,0,1,0,1
634,62,125175,116,0,5,185,0,3,0,0,0,0,0,0,1,0
314,43,37576,97,0,3,69,0,3,1,0,0,1,0,0,0,1
400,53,115113,97,0,3,69,1,3,0,0,1,0,0,1,0,1
363,40,23616,110,0,5,85,0,3,1,0,0,1,0,0,0,1
694,66,97046,86,0,4,69,0,3,0,0,0,1,0,0,0,1
1205,75,87613,86,0,3,69,0,3,0,0,0,0,1,0,0,1
1233,69,83133,86,0,3,69,0,3,0,0,0,0,1,0,0,1
1170,78,95909,110,0,5,85,0,3,0,0,0,0,1,1,0,1
1348,79,61165,107,1,3,85,1,3,1,0,0,0,1,0,0,1
961,59,50469,110,0,5,85,1,3,1,0,0,0,1,0,0,1
491,54,60239,110,0,5,85,0,3,0,0,0,0,0,1,0,1
1308,75,69388,86,0,3,69,0,6,0,0,0,0,0,0,0,1
888,61,61144,110,0,5,85,1,3,1,0,0,1,0,0,0,1
67,22,30400,97,0,5,85,0,3,1,0,1,1,1,0,0,1
1280,78,73638,86,1,4,19,0,12,0,0,0,1,0,0,0,1
741,62,82421,110,0,3,85,0,3,1,0,0,1,1,1,0,1
683,63,101469,110,0,3,85,0,3,1,0,0,1,1,0,0,1
503,55,56743,110,0,3,69,0,3,1,0,0,1,0,0,0,1
825,68,69103,110,0,4,69,1,3,0,0,0,0,0,0,0,1
264,39,50000,97,0,5,85,0,3,1,0,0,1,0,0,0,1
579,46,33021,110,0,5,85,1,3,1,0,0,1,0,0,0,1
471,56,65400,97,0,3,69,1,3,0,0,1,0,0,0,0,1
764,59,79660,86,1,5,85,1,3,0,0,0,0,1,0,0,1
779,66,76791,110,0,5,85,0,3,0,0,0,1,1,0,0,1
393,56,129155,69,0,5,64,0,3,0,0,0,0,0,0,1,0
599,50,10210,97,0,5,85,0,3,1,0,0,1,0,0,0,1
1309,75,69320,110,0,5,85,1,3,1,0,0,1,0,0,0,1
53,27,49866,192,0,5,100,0,13,1,0,0,1,0,0,0,1
1374,69,57096,86,0,3,69,0,3,0,0,0,1,1,1,0,1
597,51,17069,97,0,3,69,0,3,0,0,1,0,0,0,0,1
347,38,28150,110,0,5,85,0,3,1,0,0,1,0,1,0,1
1134,72,106108,110,0,3,69,0,3,0,0,0,1,0,0,0,1
329,43,33113,110,0,5,85,1,3,0,0,1,0,0,0,0,1
134,20,29000,97,0,5,85,0,3,1,0,1,1,0,0,0,1
750,61,80714,110,0,5,85,1,12,0,0,0,0,0,0,0,1
1006,61,37500,110,0,5,85,1,3,0,0,0,0,0,0,0,1
1060,71,164000,110,0,3,19,0,3,0,0,0,1,0,0,0,1
10,25,31461,192,0,3,100,1,12,1,1,1,1,0,0,0,1
1192,77,90000,86,0,3,69,0,3,0,0,0,0,0,0,0,1
663,68,110287,110,0,3,69,0,3,0,0,0,0,0,0,0,1
1331,75,65006,86,0,3,69,0,3,0,0,0,0,1,0,0,1
1180,77,93000,110,0,5,85,0,3,1,0,0,1,0,1,0,1
997,63,41586,110,0,5,19,0,3,0,0,0,0,0,0,0,1
1365,75,58341,86,1,4,69,1,3,0,0,1,0,0,1,0,1
370,39,18500,110,0,4,69,0,3,1,0,0,0,0,0,0,1
558,47,40000,110,0,5,85,0,3,1,0,0,1,0,0,0,1
546,56,45336,110,0,5,85,1,3,1,0,1,1,0,0,0,1
125,16,36000,110,0,5,85,1,3,1,1,1,1,1,0,0,1
407,47,102352,110,0,5,85,1,3,1,0,0,1,0,1,0,1
790,66,74963,107,1,3,85,0,3,1,0,0,1,0,0,0,1
1220,70,85000,110,0,3,85,1,3,1,0,0,1,0,0,0,1
536,56,47211,110,0,5,85,1,3,0,0,0,0,0,0,0,1
139,20,23000,110,0,5,85,0,3,1,1,1,1,0,0,0,1
260,41,51732,97,0,3,69,0,3,0,0,1,0,0,0,0,1
473,56,65000,110,0,5,19,0,6,1,0,0,0,0,0,0,1
165,14,6000,110,0,5,85,0,3,1,1,1,1,1,0,0,1
226,35,65988,110,0,3,69,1,3,0,0,0,0,0,0,0,1
1131,75,107000,110,0,3,69,0,3,1,0,0,0,1,0,0,1
191,44,158320,69,0,5,64,0,3,0,0,0,1,0,0,1,0
306,44,39000,97,0,3,69,0,3,0,0,0,0,0,1,0,1
1367,80,58000,110,0,3,85,0,6,0,0,0,1,0,1,0,1
1101,72,123403,110,0,3,69,1,3,1,0,0,1,0,1,0,1
1259,71,76000,110,0,5,85,0,3,1,0,0,1,0,1,0,1
482,54,62987,110,0,5,85,0,3,1,0,0,1,0,1,0,1
1159,79,98742,110,0,5,85,1,3,0,0,0,0,0,0,0,1
713,58,91000,110,0,5,85,1,3,1,0,0,1,0,1,0,1
1080,74,137741,90,0,5,185,0,6,0,0,0,0,0,0,1,0
320,40,36566,110,0,5,85,1,3,1,0,1,1,1,0,0,1
1145,75,101855,110,0,5,85,0,3,0,0,0,0,0,1,0,1
1237,78,82595,86,0,3,19,0,3,0,0,0,0,0,0,0,1
17,24,21716,110,0,3,85,0,18,1,0,0,1,0,1,0,1
1090,80,128351,110,0,5,85,0,3,1,0,0,1,0,0,0,1
430,50,82805,110,0,3,69,1,3,1,0,1,0,0,0,0,1
1399,74,48242,86,0,5,69,0,12,0,0,0,0,0,1,0,1
1162,80,97548,86,0,5,69,1,3,0,0,0,0,0,0,0,1
1269,69,75000,86,0,4,69,1,3,1,0,1,1,0,1,0,1
851,60,65259,110,0,3,69,1,3,0,0,1,0,1,1,0,1
986,63,44944,110,0,4,69,0,3,1,0,0,1,0,1,0,1
207,43,85017,97,0,5,85,1,3,0,0,1,0,0,0,0,1
237,35,59500,69,0,3,64,1,12,1,0,0,1,0,0,1,0
